year,month,territory,continent,cases,deaths,population
2020,Jan,Afghanistan,Asia,0,0,38041757
2020,Jan,Algeria,Africa,0,0,43053054
2020,Jan,Armenia,Europe,0,0,2957728
2020,Jan,Australia,Oceania,7,0,25203200
2020,Jan,Austria,Europe,0,0,8858775
2020,Jan,Azerbaijan,Europe,0,0,10047719
2020,Jan,Bahrain,Asia,0,0,1641164
2020,Jan,Belarus,Europe,0,0,9452409
2020,Jan,Belgium,Europe,0,0,11455519
2020,Jan,Brazil,America,0,0,211049519
2020,Jan,Cambodia,Asia,1,0,16486542
2020,Jan,Canada,America,3,0,37411038
2020,Jan,China,Asia,9687,213,1433783692
2020,Jan,Croatia,Europe,0,0,4076246
2020,Jan,Czechia,Europe,0,0,10649800
2020,Jan,Denmark,Europe,0,0,5806081
2020,Jan,Dominican_Republic,America,0,0,10738957
2020,Jan,Ecuador,America,0,0,17373657
2020,Jan,Egypt,Africa,0,0,100388076
2020,Jan,Estonia,Europe,0,0,1324820
2020,Jan,Finland,Europe,1,0,5517919
2020,Jan,France,Europe,6,0,67012883
2020,Jan,Georgia,Europe,0,0,3996762
2020,Jan,Germany,Europe,5,0,83019213
2020,Jan,Greece,Europe,0,0,10724599
2020,Jan,Iceland,Europe,0,0,339037
2020,Jan,India,Asia,1,0,1366417756
2020,Jan,Indonesia,Asia,0,0,270625567
2020,Jan,Iran,Asia,0,0,82913893
2020,Jan,Iraq,Asia,0,0,39309789
2020,Jan,Ireland,Europe,0,0,4904240
2020,Jan,Israel,Asia,0,0,8519373
2020,Jan,Italy,Europe,3,0,60550092
2020,Jan,Japan,Asia,14,0,126860299
2020,Jan,Kuwait,Asia,0,0,4207077
2020,Jan,Lebanon,Asia,0,0,6855709
2020,Jan,Lithuania,Europe,0,0,2759631
2020,Jan,Luxembourg,Europe,0,0,61573
2020,Jan,Malaysia,Asia,8,0,31949789
2020,Jan,Mexico,America,0,0,127575529
2020,Jan,Monaco,Europe,0,0,38967
2020,Jan,Nepal,Asia,1,0,28608715
2020,Jan,Netherlands,Europe,0,0,17282163
2020,Jan,New_Zealand,Oceania,0,0,4783062
2020,Jan,Nigeria,Africa,0,0,200963603
2020,Jan,North_Macedonia,Europe,0,0,2083458
2020,Jan,Norway,Europe,0,0,5328212
2020,Jan,Oman,Asia,0,0,4974992
2020,Jan,Pakistan,Asia,0,0,216565317
2020,Jan,Philippines,Asia,1,0,108116622
2020,Jan,Qatar,Asia,0,0,2832071
2020,Jan,Romania,Europe,0,0,19414458
2020,Jan,Russia,Europe,0,0,114587226
2020,Jan,San_Marino,Europe,0,0,33864
2020,Jan,Singapore,Asia,13,0,5804343
2020,Jan,South_Korea,Asia,7,0,51225321
2020,Jan,Spain,Europe,0,0,46937060
2020,Jan,Sri_Lanka,Asia,1,0,21323734
2020,Jan,Sweden,Europe,0,0,10230185
2020,Jan,Switzerland,Europe,0,0,8591361
2020,Jan,Taiwan,Asia,9,0,23780452
2020,Jan,Thailand,Asia,14,0,69625581
2020,Jan,United_Arab_Emirates,Asia,4,0,9770526
2020,Jan,United_Kingdom,Europe,2,0,66647112
2020,Jan,United_States_of_America,America,6,0,329064917
2020,Jan,Vietnam,Asia,5,0,96462108
2020,Feb,Afghanistan,Asia,1,0,38041757
2020,Feb,Algeria,Africa,1,0,43053054
2020,Feb,Armenia,Europe,0,0,2957728
2020,Feb,Australia,Oceania,18,0,25203200
2020,Feb,Austria,Europe,7,0,8858775
2020,Feb,Azerbaijan,Europe,1,0,10047719
2020,Feb,Bahrain,Asia,38,0,1641164
2020,Feb,Belarus,Europe,1,0,9452409
2020,Feb,Belgium,Europe,1,0,11455519
2020,Feb,Brazil,America,1,0,211049519
2020,Feb,Cambodia,Asia,0,0,16486542
2020,Feb,Canada,America,13,0,37411038
2020,Feb,China,Asia,69641,2624,1433783692
2020,Feb,Croatia,Europe,5,0,4076246
2020,Feb,Czechia,Europe,0,0,10649800
2020,Feb,Denmark,Europe,2,0,5806081
2020,Feb,Dominican_Republic,America,0,0,10738957
2020,Feb,Ecuador,America,0,0,17373657
2020,Feb,Egypt,Africa,1,0,100388076
